1;Fala-me de ti!
2;Temos algo em commum!
3;Sou amigo do meu amigo
4;Gostava de ter uma vida nova!
5;Esta não é a minha familia!
6;Dou-me bem com a tecnologia
7;Trabalho por conta própria
8;Fui bom aluno!
9;Estou desempregado
10;Vamos para a estrada
11;Uma viagem sem plano
12;Cheira bem, cheira a lisboa
13; Como será Lisboa no futuro?
14; Será mesmo assim?
15;Este hotel vai ser demolido
16;Você está preso!
17;Ninguém ficou perdido
18;Este prato faz-se num instante
19;Tal dono, tal cão!
20;Havemos de salvar esta espécie
21;Gostaria de saber pintar
22;Leio, logo existo
23;O Amor e as pipocas
24;Fiquei a ver o noticiário
25;Venho fazer análises
26;Eu e que sou louco por futebol
27;Espero que gostes do Brasil!
28;Isso dá azar!
P1;Português em ação 1
P2;Português em ação 2
P3;Português em ação 3
P4;Português em ação 4
P5;Português em ação 5
P6;Português em ação 6
P7;Português em ação 7
E1;Escrita 1
E2;Escrita 2
E3;Escrita 3
E4;Escirta 4
E5;Escrita 5
E6;Escrita 6
E7;Escrita 7
R1;Revisão Unidades 1 até 4
R5;Revisão Unidades 5 até 8
R9;Revisão Unidades 9 até 12
R13;Revisão Unidades 13 até 16
R19;Revisão Unidades 17 até 20
R21;Revisão Unidades 21 até 24
R25;Revisão Unidades 25 até 28